reviewer_id,listing_id
415910,6400
415910,6400
415910,6400
5023643,6400
415910,6400
415910,6400
30261686,6400
415910,6400
415910,6400
47867325,23986
286473,300436
1035536,23986
11400402,430409
31272972,430409
4772989,37256
58718936,430409
200184176,300780
49191898,300780
7170473,300780
15427729,37256
5102460,301889
17900837,301889
122907174,301889
10424548,40470
174946,303469
2757812,303469
2757812,303469
20997096,303469
25183866,303469
26722261,303469
58141895,303469
132853786,431719
33574525,431719
24775103,431719
16294574,40470
5714826,434334
793088,304050
6077261,46536
28893341,434334
12342429,304050
11852497,304050
27487718,434334
6234589,434334
7125553,434334
5345966,434334
62063429,434334
37088905,434334
9473275,434334
73852652,434334
69323,434334
31090209,434334
55223923,55055
91075589,434334
24853756,434334
318375,304050
10952538,304050
34450924,304050
12240868,434334
31090209,434334
31090209,434334
16331017,434334
13183411,434334
105105528,434334
31090209,434334
31090209,434334
31090209,434334
5345966,434334
8102718,74835
12741711,304050
87211353,304050
1593670,82227
989665,82227
158566202,82227
62162907,434334
26142703,82227
3112696,434334
31090209,434334
62162907,434334
45079723,304050
104221231,304050
415418,84741
12240868,434334
87900318,304050
2881284,304050
38756764,304050
21933446,434334
1871334,84741
1780869,84741
1910082,434334
14043826,434334
31090209,434334
26437683,434334
12399257,434334
162324576,434334
51520017,434334
37088905,434334
23760404,434334
5422419,434334
131282946,434334
131282946,434334
21502261,434334
29758021,434334
29758021,434334
21502261,434334
52825719,434334
52825719,434334
8988579,309905
19493427,309905
19493427,309905
194074366,309905
38603761,309905
28770285,312428
1196958,329995
6924844,329995
1599029,333223
224724044,335766
4812716,341076
124199387,434334
5650210,434334
9408958,434334
4049409,84741
5499616,84741
26922882,341076
62548146,341076
1788373,344373
4814951,344373
9421788,344373
1205898,84741
1205898,84741
1780869,344791
151456698,434334
63215449,434334
95745520,434334
1949802,344791
7465860,344791
3776051,344791
793088,84741
12829030,434834
14685057,84741
22744278,344791
6643559,344791
3106822,440465
90596929,440465
169163056,344791
169163056,344791
62108553,344791
7832974,344791
55831149,344791
197877450,344791
105712862,440465
12229287,440465
338747636,440465
414686982,344791
289966899,440465
289966899,440465
5145969,348448
4370639,348448
1930081,348448
8870936,348448
1930081,348448
2633029,348448
8870936,348448
4370639,348448
8870936,348448
27802040,84741
43180707,348448
2702874,445662
1620776,445662
9720751,445662
8306156,445662
226930,445662
8306156,445662
3273439,348448
7545011,348448
13562022,348448
7545011,348448
23126894,348448
19770267,348448
212399282,348448
153268584,348448
126885149,348448
26926796,445662
26926796,445662
12670263,445662
97966537,445662
181066553,445662
58623251,348448
53778226,348448
95922452,348448
64922348,84741
91037876,84741
7295790,84741
23089705,451086
173984082,348448
26461533,348448
143460752,348448
1569544,364897
51395146,84741
1569544,364897
5830031,364897
83826713,84741
45219231,451086
237406,451086
35945041,451086
3411270,451490
3705334,364897
23851069,364897
222412405,84741
64922348,84741
1416079,364919
25629786,364919
25629786,364919
4129571,364919
25629786,364919
286907246,364919
108739066,364919
194726405,84741
115906110,365083
7178437,365083
8606129,365083
16747795,365083
26746807,365083
844420,451490
6256603,451490
44747322,451490
19212242,451490
1636157,365083
11335245,365083
3821413,365083
236358233,365083
133660618,90830
427976944,90830
262514,90830
106743264,90830
21615353,90830
10311088,90830
93634938,365083
1315689,466141
7762884,365083
7762884,365083
93634938,365083
2911805,367858
76659805,367858
26850949,90830
84654693,90830
97050618,90830
10632102,466141
1399263,367858
1399263,367858
375394,368031
1145413,368031
2066856,368031
40224021,368031
3975785,466141
3236773,466141
32845935,368031
201737566,368031
369773739,92978
365196191,92978
559240,466141
559240,466141
6576846,466141
21164034,466141
24125298,466141
9407464,466141
21164034,466141
453368701,370033
297022324,370033
101753425,370033
5100641,93025
1015638,93025
115906110,374326
16478458,93025
131452958,93025
4989012,93025
1846114,93025
41707222,93025
2056949,93025
628783,94233
21164034,466141
2702874,94233
131755165,466141
628783,375710
3121096,375710
11178107,94233
14133330,466141
120217036,466141
149536804,466141
25403432,466141
35268873,375710
16081424,94233
7596050,94233
7596050,94233
61885326,94233
107412168,466141
1749423,98119
1790336,98119
493666,98119
4950675,375710
2432422,375710
181122972,375710
58185608,375710
269816969,375710
226675935,375710
55667122,466141
1435527,102817
1949802,102817
2448315,102817
283336613,375710
86625118,466141
99635077,466141
248683378,466141
2395945,470014
5409150,102817
4649560,381512
23921641,381512
4935019,381512
2863976,470276
1700770,470276
10632102,102817
10583877,102817
12580780,385378
2362153,385378
493666,385378
12580780,385378
4502959,385378
34504640,385378
7998808,470276
12342429,470276
8354167,470276
10583877,102817
3614831,470276
18388589,470276
5756033,470276
4982581,386235
23402817,470284
5466262,387543
17236996,102817
29224984,102817
1509988,470295
1124809,470295
250477290,390076
13056566,391334
1315689,392296
10152655,470295
9225162,470295
9254038,470295
2877124,470295
12342429,470295
20826372,102817
31272972,102817
133512029,392296
90738824,392296
90738824,392296
138935204,392296
2143344,470295
18388589,470295
2036580,470295
2036580,470295
26699903,102817
43164511,102817
16885448,102817
1124809,470295
104989652,102817
33292212,470295
6700521,102817
192715032,470295
129755706,470295
38389150,470295
8884745,392515
8884745,392515
90598750,102817
911410,392515
3088969,392515
16489354,392515
55734700,392515
10583877,102817
64545770,102817
2917607,478445
217819858,392515
172134047,102817
207685471,102817
405980855,393671
1322187,496612
10937746,394443
19132603,394443
7605705,394443
745905,496612
84700883,102817
12300535,496612
30106998,496612
22167155,102817
2717710,396939
90992161,496612
119681075,496612
511238,396939
4371554,396939
4294922,396939
511238,396939
167205,396939
2645338,496612
2075989,496612
48862891,496612
386360105,496612
188723806,496612
442143859,496612
297927723,496612
26968950,496612
911410,396939
151344022,102817
10448776,396939
9584846,396939
9584846,396939
2959683,504777
258570378,102817
56469,509142
56469,509142
1363388,509142
493239,509142
10907682,396939
16515592,396939
5109236,509142
5798005,509142
16611485,509142
27432477,509142
1504396,509142
11906406,509142
430173,509142
5274461,509374
648836,509374
49545589,509374
1421464,109384
1651471,109384
409557,109384
1651471,109384
3521487,109384
409557,109384
337644,109384
3587501,109384
5431069,109384
5431069,109384
7768308,109384
409557,109384
10269970,396939
4371554,396939
11581107,396939
16489354,396939
43444502,396939
139208674,528331
486515499,528331
15967062,396939
97111982,396939
4129161,109384
80346614,396939
116320794,396939
136223443,396939
136223443,396939
55734700,396939
11192431,396939
6491047,109384
16611485,109384
19312784,109384
19312784,109384
25049152,109384
45318395,109384
3587501,109384
134223387,109384
9477378,109384
768310,109384
330173574,109384
28267250,396939
5673047,530224
86171949,396939
11674591,122514
64531113,530224
94206088,530224
143473621,530224
36709815,122514
105497508,530224
160631461,396939
5115287,396939
28287782,536375
81685759,122514
48349014,122514
16754553,536375
28287782,536375
461185927,122514
45473681,122514
263297926,396939
47671405,396939
216233190,396939
2271893,536375
335889,138071
1003319,138071
1651471,138071
8040763,138071
2909553,396939
108245725,396939
73697485,396939
27876207,396939
3663046,396939
7179834,396939
37474777,138071
212008022,538175
205021408,541221
206205925,541221
34609537,541221
16489354,396940
21138775,138071
13629476,138071
218243648,138071
320926867,138071
241822251,138071
405220061,138071
105448572,138071
7252413,138071
1799467,541668
2717710,541668
2863976,397875
1146050,140874
2808279,541668
2808279,541668
2808279,541668
2808279,541668
1320410,140874
1320410,140874
1470653,140874
3481079,140874
2893549,544809
210305,397875
126969,140874
19372558,140874
31128335,544809
44581710,544809
350084259,544809
38894003,140874
12181336,399879
2215758,141833
2281125,141833
2215758,141833
2587187,141833
649875,141833
3595497,141833
609066,553285
9960932,553285
3777871,141833
11395704,553285
22099494,141833
6318809,400300
6793406,141833
3761032,141833
3761032,141833
91792206,402406
30532462,402422
12113932,402422
22717195,143329
10046143,403341
4982572,403341
112563871,143329
82522714,403341
49559100,553285
222193532,403341
3808634,403602
3787410,403602
13995485,403602
11852429,403602
29449649,553285
432711448,564917
206467223,564917
136432495,403602
17594105,403602
17594105,403602
129209550,403602
77063894,143329
46398824,143329
3689163,404938
232782,566637
3690838,566637
977593,153925
10813121,566637
1697542,153925
4582277,566637
151608528,405089
531952,405089
9324855,566637
21902691,566637
56325441,566637
56325441,566637
12803875,566637
23851069,406218
502622705,153925
24169023,566637
7308737,566637
370543,409123
1124809,155720
2643310,409123
93200575,409123
7448826,409414
2589770,155720
16428629,409414
16428629,409414
1846114,409414
20466882,155720
66751932,566637
20438502,566637
30896246,409509
1977410,409985
1977410,409985
8115266,409985
36962549,566637
9068040,409985
25071651,409985
1124809,155720
6097981,155720
9582717,155720
817823,155720
43368868,155720
6650823,409985
6650823,409985
1404864,409985
1895434,409985
37693269,409985
1503181,409985
1503181,409985
115459932,409985
73308488,409985
91455,409985
137534455,155720
